report_time,open_interest_all,dealer_positions_long_all,dealer_positions_short_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
1672704000000,14530,300,3643,5766,923,4453,5650,1297,1789,1103,914
1673308800000,14891,306,3576,6212,880,5217,6612,701,1991,1339,716
1673913600000,15885,203,3622,7027,306,5291,6490,769,3162,1440,1150
1674518400000,17390,304,4346,7671,63,5605,7642,769,2823,1467,942
1675123200000,17542,292,5797,8149,58,5683,7201,766,2713,1635,756
1675728000000,16843,303,5827,7721,28,5274,6690,796,2160,1444,833
1676332800000,15158,356,5298,7187,72,4207,6159,782,1421,1268,850
1676937600000,16501,348,5345,7406,70,4614,6405,624,1546,1398,1024
1677542400000,15161,369,5140,7047,240,4527,6106,682,1452,1232,919
1678147200000,12821,414,4185,6470,362,2346,5259,1161,696,1090,979
1678752000000,13472,305,3881,5924,318,2551,6047,2030,949,1248,863
1679356800000,14049,292,3299,6899,243,3484,7746,605,716,1450,726
1679961600000,14409,285,3767,6428,220,4147,7217,546,749,1449,902
1680566400000,13380,321,3714,6450,170,3327,6656,616,972,1458,660
1681171200000,15977,508,4146,7376,82,4637,8136,546,1452,1542,793
1681776000000,15385,493,3998,7041,249,4053,7737,557,825,1368,703
1682380800000,14064,458,3045,6406,256,2249,6625,811,587,1364,775
1682985600000,12521,554,2825,6582,363,2280,6596,540,823,1259,608
1683590400000,13102,556,2483,6511,229,2752,7634,399,580,1334,626
1684195200000,13043,558,2469,6349,169,2337,7062,953,949,1334,882
1684800000000,13043,546,2437,6373,180,2184,7078,1189,949,1207,855
1685404800000,11715,497,2555,6478,184,1865,6639,416,315,1178,741
1686009600000,13026,567,2205,6198,368,2397,7625,1126,517,1172,745
1686614400000,13251,584,2166,6045,327,1859,7634,1718,523,1168,724
1687219200000,15687,555,3008,6540,261,3308,9079,1726,311,1259,729
1687824000000,18829,536,4473,7603,70,6145,10411,324,758,1780,676
1688342400000,17008,556,4081,8311,70,5356,10464,321,873,1568,624
1689033600000,16302,777,4140,8243,152,4189,9931,453,490,1535,484
1689638400000,15455,627,4177,8958,113,2487,8830,493,410,1657,692
1690243200000,16017,658,4037,8616,113,2440,8844,644,187,1503,680
1690848000000,14860,583,3480,8220,121,2311,8957,1169,350,1226,601
1691452800000,16743,587,4372,8748,50,3637,10164,1092,171,1250,557
1692057600000,15432,614,4359,8471,0,2131,8694,1364,225,1299,601
1692662400000,17262,599,3066,7633,582,2771,10163,2556,162,1171,757
1693267200000,16172,565,2785,7758,936,2483,10012,2517,164,1277,703
1693872000000,14962,520,2077,7624,1539,1670,8755,2224,162,1218,723
1694476800000,15423,530,1679,7295,1291,1660,9221,2509,114,1134,823
1695081600000,16670,620,2111,7392,850,2204,10304,2763,114,1191,791
1695686400000,14844,433,1859,7168,1093,1594,8220,1852,114,1200,961
1696291200000,14447,427,2898,7336,623,2373,8565,1941,410,1195,776
1696896000000,14683,429,2600,7402,517,1946,9114,2096,153,1286,775
1697500800000,16561,407,2823,7344,127,2576,10429,2567,183,1341,673
1698105600000,19678,509,3596,8383,25,3536,11489,3021,1231,1617,725
1698710400000,19603,683,4757,9181,0,4780,11822,2450,1358,1468,625
1699315200000,21749,798,5355,10268,0,4782,12188,2836,2024,1580,697
1699920000000,21203,834,5539,10886,0,3958,10635,1347,1714,1609,746
1700524800000,21939,850,6226,10973,34,3780,11322,2701,1153,1664,1233
1701129600000,23027,676,6408,11448,0,4479,13303,3720,1565,1688,735
1701734400000,23035,647,6439,11735,0,4390,12535,3030,1691,1641,778
1702339200000,21211,734,6292,11469,0,3435,11606,1760,379,1654,775
1702944000000,23239,870,6399,11606,0,3187,12415,2625,520,2589,1543
1703548800000,22526,976,5841,11862,0,2818,12649,2162,538,2145,935
1704153600000,23579,882,5867,12724,0,3317,13616,2977,1404,1684,697
1704758400000,26846,906,6261,14339,0,3579,14998,3484,1888,1561,722
1705363200000,23286,1921,5039,12824,15,3578,13413,613,1488,1747,728
1705968000000,22815,1588,4017,12427,42,2972,11328,288,2662,1613,839
1706572800000,20679,1575,4784,12793,0,2642,12123,762,1646,1435,654
1707177600000,20897,1675,4957,12290,0,2938,12252,614,1074,1591,825
1707782400000,24769,1923,5462,13220,0,3935,14059,1560,1886,1725,956
1708387200000,25530,1941,5606,13724,34,4400,14677,1380,2024,1724,828
1708992000000,25229,1956,5454,14065,311,4141,15037,1631,1998,1726,719
1709596800000,27747,2501,5169,15924,393,4650,17059,770,2116,1705,813
1710201600000,30398,2835,4893,18936,464,3813,19287,879,2754,1800,865
1710806400000,33196,2723,4948,18097,524,5548,19917,895,2717,1663,820
1711411200000,31238,2967,4679,19284,588,3629,19731,827,2675,1823,857
1712016000000,29745,2285,4281,19477,548,3232,19313,821,2521,1619,771
1712620800000,29074,1761,4354,19547,508,2994,19010,807,2228,1699,708
1713225600000,29526,1703,4395,18898,632,2653,17836,598,1665,1532,856
1713830400000,27932,1460,4139,19010,517,2566,19059,701,679,1525,868
1714435200000,24795,1506,3461,16882,421,2061,16525,411,977,1461,937
1715040000000,26155,1330,3810,17255,476,1899,17120,1435,1162,1588,939
1715644800000,27077,1326,3476,16904,518,1833,17479,2057,1245,1519,921
1716249600000,30694,1254,4164,18734,706,2332,19154,2098,1162,1586,818
1716854400000,30255,1277,3924,18594,773,2140,19191,1919,946,1763,859
1717459200000,31086,1245,3974,18527,636,3326,21276,2844,809,1601,848
1718064000000,30503,1259,3830,18482,591,2402,20045,2396,762,1632,943
1718668800000,30627,1214,3799,17911,654,2477,19548,2537,636,1539,1041
1719273600000,30171,1187,3790,17398,493,1655,18592,2783,531,1499,1116
1719878400000,27063,1151,3690,17291,493,1251,18022,2663,551,1347,947
1720483200000,28241,1052,3795,17695,563,1152,18928,3882,701,1363,1157
1721088000000,31183,1141,3892,19999,656,1636,20439,2963,1150,1463,1065
1721692800000,32435,1206,3812,20438,636,1868,20542,2093,1094,1598,1119
1722297600000,28605,1092,4247,19767,643,2700,20293,1670,721,1467,792
1722902400000,27535,977,4272,17710,629,1882,19127,3900,622,1164,983
1723507200000,27874,868,4249,18608,598,2203,19491,3000,622,1148,867
1724112000000,29630,940,4278,18784,620,1905,19036,2997,918,1215,989
1724716800000,29817,1152,4603,19303,604,2365,20297,3180,794,1308,1010
1725321600000,26859,1200,4188,17664,371,2184,18876,3207,1063,1067,824
1725926400000,28157,1005,3807,18196,367,1748,18886,2926,1083,1225,957
1726531200000,30995,1014,3760,11674,416,1914,19963,10213,1053,1238,861
1727136000000,30542,1040,3833,9233,365,1985,20623,13060,950,1433,980
1727740800000,28539,1061,4200,9163,359,2690,20031,12237,792,1150,919
