open_time,open,high,low,close
1586523600000,0.00002057,0.00056737,-0.00137376,-0.00037360
1586527200000,-0.00105351,0.00002229,-0.00105351,-0.00041602
1586530800000,-0.00088410,0.00024213,-0.00160842,-0.00001490
1586534400000,-0.00017012,0.00009979,-0.00125452,-0.00024359
1586538000000,-0.00076126,-0.00004031,-0.00134987,-0.00093777
1586541600000,-0.00067192,0.00007062,-0.00137639,-0.00064686
1586545200000,-0.00080315,0.00005083,-0.00128848,0.00005021
1586548800000,-0.00050611,0.00004958,-0.00157320,-0.00051418
1586552400000,-0.00016547,-0.00006005,-0.00121904,-0.00020576
1586556000000,-0.00019243,0.00002479,-0.00154410,0.00001271
1586559600000,-0.00059501,0.00001229,-0.00130028,-0.00028966
1586563200000,-0.00025931,-0.00000631,-0.00139592,-0.00041538
1586566800000,-0.00082390,-0.00000553,-0.00128682,-0.00100588
1586570400000,-0.00056239,-0.00001619,-0.00170441,-0.00055099
1586574000000,-0.00049191,-0.00004560,-0.00101172,-0.00004560
1586577600000,-0.00070710,0.00023880,-0.00109456,-0.00012331
1586581200000,-0.00010125,-0.00000201,-0.00103751,-0.00035098
1586584800000,-0.00006973,-0.00000101,-0.00125859,-0.00017852
1586588400000,-0.00014832,0.00029379,-0.00091159,-0.00029975
1586592000000,-0.00052684,0.00008881,-0.00085770,-0.00005973
1586595600000,0.00008108,0.00011318,-0.00085777,-0.00008697
1586599200000,-0.00056076,0.00021621,-0.00059946,0.00013396
1586602800000,-0.00004358,0.00029061,-0.00069601,-0.00020313
1586606400000,-0.00046045,0.00004537,-0.00092796,0.00003494
1586610000000,0.00003475,0.00003475,-0.00067380,-0.00035612
1586613600000,-0.00015489,0.00002220,-0.00088244,-0.00004454
1586617200000,0.00001158,0.00007177,-0.00074649,-0.00038681
1586620800000,-0.00035131,0.00009958,-0.00066294,-0.00005835
1586624400000,-0.00009100,0.00081723,-0.00100549,-0.00064058
1586628000000,-0.00014945,0.00044118,-0.00076151,0.00006271
1586631600000,-0.00069444,0.00014315,-0.00116148,0.00014315
1586635200000,0.00005000,0.00005000,-0.00129494,-0.00002197
1586638800000,0.00027544,0.00027544,-0.00053370,-0.00016616
1586642400000,-0.00033862,0.00002479,-0.00144121,-0.00046705
1586646000000,-0.00041695,0.00000958,-0.00147726,-0.00049172
