create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-06-24 05:55:00,HYPEUSDT,5580661.6100000000000000,347451043.4051593500000000,1.18881664,1.52462900,1.24124331,1.34937800
2026-06-24 06:00:00,HYPEUSDT,5578984.7200000000000000,345512013.0958254000000000,1.19031502,1.52522400,1.23509035,0.59431500
2026-06-24 06:05:00,HYPEUSDT,5575008.8300000000000000,346774203.7582075000000000,1.18439164,1.52491900,1.22873134,1.87478000
2026-06-24 06:10:00,HYPEUSDT,5575344.9200000000000000,346624769.0213200000000000,1.18439164,1.52390100,1.22944854,1.36853500
2026-06-24 06:15:00,HYPEUSDT,5583199.0000000000000000,348481387.4559454300000000,1.17663818,1.52466700,1.21430559,1.95807500
2026-06-24 06:20:00,HYPEUSDT,5585712.6400000000000000,348833459.7824619000000000,1.17576306,1.52481100,1.21720171,0.94302300
2026-06-24 06:25:00,HYPEUSDT,5595555.3900000000000000,349014923.9933932000000000,1.16735698,1.53022300,1.20959197,1.14861400
2026-06-24 06:30:00,HYPEUSDT,5596719.4300000000000000,349073187.4273808600000000,1.16608459,1.52889600,1.20650964,1.02289300
2026-06-24 06:35:00,HYPEUSDT,5607295.0300000000000000,350036421.0742421000000000,1.16309401,1.53006300,1.20574606,1.89403600
2026-06-24 06:40:00,HYPEUSDT,5606607.6000000000000000,348921617.3784000000000000,1.16632205,1.52979000,1.20826768,0.69633300
2026-06-24 06:45:00,HYPEUSDT,5590567.2100000000000000,348342652.2878900000000000,1.16565369,1.53187100,1.20919881,1.63619600
2026-06-24 06:50:00,HYPEUSDT,5590563.3200000000000000,348638709.7618400000000000,1.16434289,1.53099200,1.20835263,1.73711000
2026-06-24 06:55:00,HYPEUSDT,5593804.2700000000000000,348146666.5761803400000000,1.16819651,1.53181400,1.20929802,0.55935300
2026-06-24 07:00:00,HYPEUSDT,5596326.5800000000000000,348311368.9390871500000000,1.16301546,1.53073600,1.20735879,1.21751200
2026-06-24 07:05:00,HYPEUSDT,5595254.0700000000000000,347655542.0116436500000000,1.16907776,1.53210900,1.21049223,0.78553400
2026-06-24 07:10:00,HYPEUSDT,5598722.5400000000000000,348912388.6928000000000000,1.16707553,1.53309500,1.20668946,1.21946400
2026-06-24 07:15:00,HYPEUSDT,5599177.4400000000000000,348444755.7562176600000000,1.16729056,1.53315800,1.20781741,0.63651900
2026-06-24 07:20:00,HYPEUSDT,5595717.5200000000000000,348368064.9743699400000000,1.16565604,1.54019200,1.20271018,0.55340100
2026-06-24 07:25:00,HYPEUSDT,5595360.8700000000000000,347348812.0878600000000000,1.15867301,1.54622700,1.19557026,1.79255700
2026-06-24 07:30:00,HYPEUSDT,5595932.8100000000000000,347826009.7196841000000000,1.15765129,1.54723000,1.19414088,1.43079200
2026-06-24 07:35:00,HYPEUSDT,5596356.4400000000000000,347810168.2934793000000000,1.15740146,1.54805500,1.19431193,1.15415700
2026-06-24 07:40:00,HYPEUSDT,5589095.6500000000000000,347387977.8833947000000000,1.15978918,1.55276500,1.20005521,0.39594900
2026-06-24 07:45:00,HYPEUSDT,5590330.6000000000000000,348143428.4456000000000000,1.16370656,1.55448000,1.19979781,1.17488400
2026-06-24 07:50:00,HYPEUSDT,5589751.2100000000000000,346102718.3606280000000000,1.16483942,1.55557300,1.20381989,0.46771900
2026-06-24 07:55:00,HYPEUSDT,5590869.6000000000000000,346678642.1568000000000000,1.16266770,1.55426400,1.19821313,1.08393100
2026-06-24 08:00:00,HYPEUSDT,5590764.4400000000000000,347561052.9414800000000000,1.16576297,1.55463000,1.20130827,1.34657900
2026-06-24 08:05:00,HYPEUSDT,5594002.5300000000000000,347225331.0396300000000000,1.16578506,1.55338100,1.20215509,0.87208300
2026-06-24 08:10:00,HYPEUSDT,5594165.5100000000000000,347911955.1207915500000000,1.16929032,1.55441000,1.20161809,1.18238700
2026-06-24 08:15:00,HYPEUSDT,5596672.8000000000000000,347003054.7267368400000000,1.16733273,1.55340100,1.19831069,0.82029900
2026-06-24 08:20:00,HYPEUSDT,5595932.7900000000000000,347971888.6805700000000000,1.16308405,1.55380300,1.19825528,2.41568800
2026-06-24 08:25:00,HYPEUSDT,5613177.0300000000000000,348344950.6504838000000000,1.15925450,1.55468400,1.19063300,1.97965300
2026-06-24 08:30:00,HYPEUSDT,5619714.0200000000000000,350365445.9176445600000000,1.15769873,1.55750000,1.18891020,2.04955900
2026-06-24 08:35:00,HYPEUSDT,5619546.9700000000000000,349895472.5400800000000000,1.15856318,1.55941000,1.19087175,0.94235400
2026-06-24 08:40:00,HYPEUSDT,5619277.9100000000000000,350665418.6956400000000000,1.15819861,1.55903400,1.19028931,2.12662800
2026-06-24 08:45:00,HYPEUSDT,5619807.4100000000000000,350138487.9306584000000000,1.16075559,1.56050200,1.19407624,1.44276400
2026-06-24 08:50:00,HYPEUSDT,5612936.0400000000000000,350580149.5708158000000000,1.16814958,1.55828900,1.20376492,3.61549900
2026-06-24 08:55:00,HYPEUSDT,5606788.4200000000000000,351455925.3192800000000000,1.17086401,1.56264800,1.20716324,2.74038100
2026-06-24 09:00:00,HYPEUSDT,5605833.2000000000000000,350265892.9955554600000000,1.16668815,1.56366300,1.20572270,0.49091700
2026-06-24 09:05:00,HYPEUSDT,5607718.8000000000000000,349505963.6921761000000000,1.16746165,1.56182400,1.21009487,0.58488800
2026-06-24 09:10:00,HYPEUSDT,5605489.0900000000000000,349877812.5305300000000000,1.16660219,1.56298600,1.21026444,1.16437800
2026-06-24 09:15:00,HYPEUSDT,5620589.3700000000000000,350004083.3045331000000000,1.16847265,1.56978800,1.21088999,0.34281800
2026-06-24 09:20:00,HYPEUSDT,5620680.7600000000000000,350303307.6862400000000000,1.16821346,1.56848100,1.21181994,1.96466100
2026-06-24 09:25:00,HYPEUSDT,5620394.8000000000000000,350386472.6565585000000000,1.16664520,1.56879000,1.21320077,1.09262900
2026-06-24 09:30:00,HYPEUSDT,5620222.0800000000000000,350291581.5801600000000000,1.16570179,1.56903400,1.20776360,0.89905500
2026-06-24 09:35:00,HYPEUSDT,5618700.9900000000000000,350140589.5938300000000000,1.16356161,1.56692500,1.20228728,2.05111900
2026-06-24 09:40:00,HYPEUSDT,5619743.2800000000000000,349882714.4783020000000000,1.16383745,1.56682600,1.20247253,0.66011600
2026-06-24 09:45:00,HYPEUSDT,5617760.7500000000000000,350614252.7482713500000000,1.16345165,1.56588900,1.20544305,1.11072300
2026-06-24 09:50:00,HYPEUSDT,5616463.1600000000000000,350781823.1209600000000000,1.16309233,1.56753900,1.20499680,0.90501200
2026-06-24 09:55:00,HYPEUSDT,5616107.8800000000000000,350789264.3384549000000000,1.16177037,1.56837300,1.20602233,0.74300200
2026-06-24 10:00:00,HYPEUSDT,5616175.6100000000000000,350073114.3976238400000000,1.16109189,1.56841500,1.20466392,0.61302600
2026-06-24 10:05:00,HYPEUSDT,5614084.4200000000000000,350200972.0351800000000000,1.16136480,1.56765000,1.20574776,2.06739100
2026-06-24 10:10:00,HYPEUSDT,5616380.9200000000000000,349939845.9824400000000000,1.16304488,1.56783800,1.20752639,0.42886400
2026-06-24 10:15:00,HYPEUSDT,5619606.7900000000000000,350091588.4009365000000000,1.15613383,1.56663600,1.19691296,1.15683600
2026-06-24 10:20:00,HYPEUSDT,5623788.6200000000000000,350750715.1835813500000000,1.15884013,1.56539100,1.20199342,1.23449000
2026-06-24 10:25:00,HYPEUSDT,5625104.0100000000000000,350703029.2504080500000000,1.16225931,1.56461300,1.20612992,1.68697000
2026-06-24 10:30:00,HYPEUSDT,5636029.5700000000000000,351833587.6621541400000000,1.16268618,1.56320900,1.20864231,0.51308600
2026-06-24 10:35:00,HYPEUSDT,5637762.2900000000000000,351875295.5680600000000000,1.16546763,1.56532600,1.20981326,0.80812200
2026-06-24 10:40:00,HYPEUSDT,5640167.6000000000000000,352408951.9832000000000000,1.16613172,1.56662000,1.20494796,0.70332100
2026-06-24 10:45:00,HYPEUSDT,5640998.1400000000000000,351271508.4535389000000000,1.16613172,1.56628700,1.21024703,0.55450500
