address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0x8ab13dbc3d2ab5ea4c4b37f40696254a730015ef,BTC,25.0,71278.3,2110625.0,328666.12607,cross,40,
0x8ab13dbc3d2ab5ea4c4b37f40696254a730015ef,UNI,100000.0,6.96396,926730.0,230333.87946,cross,10,
0x8ab13dbc3d2ab5ea4c4b37f40696254a730015ef,NEAR,333333.0,2.75248,1572465.0941999999,654969.4634370001,cross,10,
0x8ab13dbc3d2ab5ea4c4b37f40696254a730015ef,ENA,10000000.0,0.17862,2216600.0,430399.66678,cross,10,
0x8ab13dbc3d2ab5ea4c4b37f40696254a730015ef,HYPE,50000.0,87.1479,4667400.0,310001.09657,cross,10,48.1101350035
0xcf5ab177696de98f522e60a89eab68dacbec8fd0,SUI,-46656.3,0.79982,47892.69195,-10575.607092,cross,5,5.3121951933
0xcf5ab177696de98f522e60a89eab68dacbec8fd0,XRP,-26461.0,1.416773,40633.5116,-3144.271154,cross,5,9.2764874978
0xcf5ab177696de98f522e60a89eab68dacbec8fd0,VVV,2761.55,21.6364,87336.7803,27586.5548,cross,3,
0xcf5ab177696de98f522e60a89eab68dacbec8fd0,ZEC,17.46,1216.3004,27056.332026,5819.727026,cross,10,
0x0682f4ee106d167ca46ed015918e83f6f4e5b571,PENDLE,401639.0,2.024741,1039642.5514999999,226427.5991,cross,5,
0x0682f4ee106d167ca46ed015918e83f6f4e5b571,ENA,2000000.0,0.165762,443420.0,111894.08189,cross,10,
0xbcb881aa8d0b3e786d00d0ae83c52e0ed078dcc3,BTC,0.01602,84142.4,1352.29626,4.334095,cross,40,
0xbcb881aa8d0b3e786d00d0ae83c52e0ed078dcc3,LTC,333.33,68.0479,24070.09263,1387.664351,cross,10,
0xbcb881aa8d0b3e786d00d0ae83c52e0ed078dcc3,kBONK,9999999.0,0.004054,37549.996245,-2998.660943,cross,10,
0xbcb881aa8d0b3e786d00d0ae83c52e0ed078dcc3,ZEC,7.77,1512.0513,12046.608,297.969,cross,10,
0xbcb881aa8d0b3e786d00d0ae83c52e0ed078dcc3,PONS,111111.0,0.717146,69097.70868,-10585.167266,cross,3,
0x065612c177776f3c635dff181edf170f9c196a05,XRP,-400000.0,1.537545,614040.0,978.3955,cross,5,1.989294719
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,WLD,711299.7,0.42217,315134.219088,14842.879071,cross,10,
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,ZRO,300309.6,1.01927,438710.282256,132612.607909,cross,5,
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,NEAR,-375000.0,4.10116,1760962.5,-223024.876934,cross,10,21.5729828855
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,ENA,-5033826.0,0.211914,1117106.6659200001,-50366.82832,cross,10,1.4791954962
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,SYRUP,1869697.0,0.200382,408902.7339,34248.365538,cross,3,
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,PUMP,408846286.0,0.004,1591229.745112,-44371.864792,cross,10,
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,XPL,6382608.0,0.092366,701065.66272,111527.722363,cross,10,
0xe09726ff25f5001f37b15049f54116cb83d7d0fe,PONS,543284.0,0.696368,337504.31932,-40821.57176,cross,3,
0xe99ade466b7f62a0689f93151c8293320e61eba8,NEAR,-200.1,4.76211,946.25289,6.646204,isolated,1,9.0683342948
0xe99ade466b7f62a0689f93151c8293320e61eba8,ONDO,80.0,0.497462,41.7112,1.914212,isolated,1,0.0007784342
0xe99ade466b7f62a0689f93151c8293320e61eba8,PUMP,1634.0,0.003785,6.36443,0.178503,isolated,1,0.000008394
0x2f9beb4d627ec674e76989e672cac0ab06711118,PONS,98373.0,0.643013,61116.19371,-2138.938806,isolated,3,0.4144454275
0x8de78b26d1dc704fc3b981a09bfce93ccfe0c3d1,NEAR,1199.1,4.1918,5684.45346,658.05925,isolated,1,0.0043824798
0x8de78b26d1dc704fc3b981a09bfce93ccfe0c3d1,TAO,8.652,288.858,2596.20564,97.00538,cross,1,
0x8de78b26d1dc704fc3b981a09bfce93ccfe0c3d1,VVV,62.07,30.2946,1954.83258,74.44546,cross,1,
0x8de78b26d1dc704fc3b981a09bfce93ccfe0c3d1,ZEC,1.61,1548.6,2495.661,2.415,isolated,1,1.5008617195
0xd94d0db6c59f7e6fe3d77cec69aa817121b40096,HYPE,-125.0,92.2503,11705.75,-174.45792,cross,3,173.1262672533
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,AVAX,115.03,10.9187,1205.28434,-50.697502,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,ARB,5835.0,0.23183,1278.62355,-74.125164,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,SUI,1247.8,0.97296,1278.49588,64.428657,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,kPEPE,264502.0,0.004754,1182.059438,-75.385281,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,UNI,128.3,9.70857,1181.37357,-64.23617,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,NEAR,1340.9,4.06861,6383.75672,928.155724,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,ENA,6149.0,0.216217,1364.4631,34.940279,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,HYPE,89.58,92.365,8389.167,115.1103,cross,10,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,ZEC,0.81,1611.1004,1256.715,-48.276324,cross,5,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,LIT,2104.0,5.142112,11026.4328,207.4271,cross,5,
0xa0c2c48b0f45b003ef5939ade967e64eb9e3615f,USELESS,4214.0,0.34096,1204.50869,-232.298067,cross,3,
0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,TAO,163.32,292.947,48989.4672,1145.35883,cross,5,
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,SOL,-120.0,141.8779,14020.908,3004.442,cross,20,537.0784705935
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,BNB,-17.403,859.271,13576.25433,1377.64646,cross,10,3608.8079082698
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,SAGA,-76594.1,0.01307,4211.909559,-3210.820903,cross,3,0.6334294193
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,PURR,-10124.0,0.12816,1369.7772,-72.27836,cross,3,4.5115393054
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,HYPE,-1147.44,69.4367,107461.19832,-27786.657666,cross,10,136.5553127119
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,VVV,-408.37,17.5548,12845.27835,-5676.40408,cross,3,139.9474130771
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,APEX,-17196.0,0.282213,4638.27708,214.66757,cross,3,2.8462039898
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,XMR,-33.623,442.549,18911.155481,-4031.323971,cross,5,1960.0082252138
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,GRAM,-9494.0,1.424581,13487.1764,37.8014,cross,5,6.3700629319
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,CASHCAT,-110146.0,0.060249,17587.01182,-10950.790187,isolated,3,0.4924591122
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,PONS,-12167.0,0.412374,7557.89706,-2540.53881,cross,3,4.2625909253
0x43b43f2a3b11c00c0f2d8fa6b2a610ca5cfd3f45,USELESS,-30615.0,0.307928,8734.306425,692.934255,cross,3,1.732462948
0xa4622b0b9aaa7690de51ac3044744dbe82a79df8,BTC,-9.0,84849.4,759636.0,4009.279873,cross,40,93853.939739369
0xa4622b0b9aaa7690de51ac3044744dbe82a79df8,ZEC,-14.0,1531.1566,21702.8,-266.607502,cross,10,7408.1983588435
0x0aa0c3ac0151c42537fdb3cb6a2f37b9251a6c6c,HYPE,1098.21,94.4825,102873.72354,-887.93745,cross,10,36.3762730961
0x68a82030ee49af0dd0d1880da1aa18e0e97f003c,ETH,-370.4116,2744.7,996370.16284,20302.20825,cross,25,3100.8631566831
0x68a82030ee49af0dd0d1880da1aa18e0e97f003c,HYPE,-2383.3,83.0613,223253.2442,-25293.2395,cross,10,155.7208341483
0x418aa6bf98a2b2bc93779f810330d88cde488888,BTC,-116.5,82331.2,9841570.5,-249977.503554,cross,40,127522.0513057511
