address,display_name,account_value,day_pnl,day_roi,day_vlm,week_pnl,week_roi,week_vlm,month_pnl,month_roi,month_vlm,allTime_pnl,allTime_roi,allTime_vlm,vlm_to_acct
0xb27c6663010d0f86df023638beb563cd1d7279af,,957994.277634,10146.444496,0.0107047188,33977.02,127151.902917,0.1530360584,1758109.5,166833.403757,0.210866107,5007319.07,943511.917634,62.4715317902,77532589.7,80.9
0x45aac70ff629f33cb0e193b4293440e0e74915e8,,63281.487855,1080.532505,0.0173716384,124404.8,6696.820628,0.1183504464,1380323.62,15194.505751,0.0548228133,4930943.49,42352.127855,0.1694091891,10571407.48,167.1
0x94b227df8fe384dfa9273334c72e5efbf934599e,,943646.131691,-22105.457122,-0.0228893821,1872577.41,32573.31638,0.0357527037,5981445.44,282547.118414,0.4273900168,14292206.83,243641.131691,0.3480562734,31827985.15,33.7
0xb4caaff781251594911cc76aec61cef46ba00894,,5641722.130508001,24255.888936,0.0158001818,57450.62,-360699.623271,-0.06518151,2352220.85,-145351.131848,-0.0051290521,25391087.73,5869687.820508,0.1390731124,430234951.37000006,76.3
0x3fa8ed10f4aa3ac5b2c43d8bd59d8830f88d974c,,252156.938582,291.429369,0.0011570833,0.0,19257.380577,0.0826853462,341930.34,26397.85412,0.1169293107,1526059.77,573248.128582,53.1610656663,27425434.27,108.8
0x4cc2a26cb0427032427a002e210f368ea4cc17c6,Carols Trades,37052.406962,-1476.865862,-0.037125584,3847.86,12337.370292,0.2137198769,247763.94,2043.313888,0.0263279911,1241521.02,95181.296962,2.1635987755,18421508.3,497.2
0x121acb29e168cc9e97dbd7b280ee8baf2cb34c6e,,109302.549003,-2865.383183,-0.0255454757,168623.4,105359.744693,0.3105042871,2299395.0,382009.963337,0.8788664592,6058151.55,-699365.150523,-0.4641734152,69642897.04,637.2
0x831e4ecf60dd9727d30c3610fa15ad52fa1ff54f,,50752.531376,1125.794048,0.022685232,137911.83,21821.87296,0.5752879388,849261.47,26449.923104,0.7941956734,3101590.26,60387.971376,9.5902939877,17723162.28,349.2
0xf39669286a60cf83bedce4240f705e8e956b7755,,103072.249522,7066.60969,0.0736061991,440058.07,19093.249217,0.2273574244,1084957.49,19093.249217,0.2273574244,1084957.49,-87437.580478,-0.4203698505,47556424.44,461.4
0xf2497f19552950de3b54b7ab23210f30f7409e70,,103177.962728,907.561422,0.0083901087,0.0,1992.576347,0.0112520654,1073937.56,721.457201,0.0024593188,5568506.04,111014.712728,0.4704587171,201289851.96,1950.9
